Method,z_um,f_norm,H_A
Clear,25.0,0.875,0.3174498528000352
Clear,25.0,0.885,0.30937128526942953
Clear,25.0,0.895,0.3014460203709949
Clear,50.0,0.005,1.0
Clear,50.0,0.015,0.9993858965758025
Clear,50.0,0.025,0.9980879868709076
Clear,50.0,0.035,0.9962057321261796
Clear,50.0,0.045,0.9935631329265547
Clear,50.0,0.055,0.9901781652009117
Clear,50.0,0.065,0.9869662892241966
Clear,50.0,0.07500000000000001,0.9833752243115289
Clear,50.0,0.08499999999999999,0.9782376783578803
Clear,50.0,0.095,0.9728091731441146
Clear,50.0,0.10500000000000001,0.9666601580214653
Clear,50.0,0.11499999999999999,0.9593214888927337
